Constituency,Region,Con,Lab,UKIP,LD,SNP,Grn,DUP,PC,SF,UUP,SDLP,Alliance,Ind,Spk,Others,ValidVotes,WinningParty,SecondPlace,WinningVotes,SecondPlaceVotes,WinningPct,Majority,MajorityPct,TurnoutPct2015,RemainPct,LeavePct,LeaveMajority,2017_winner
Angus,Scotland,12900.0,3919.0,1355.0,1216.0,24130.0,965.0,,,,,,,,,,44485,SNP,Conservative,24130,12900,54.24,11230,25.24,67.6,51.9,48.1,-3.8,Conservative
Arfon,Wales,3521.0,8122.0,2277.0,718.0,,,,11790.0,,,,,,,409.0,26837,Plaid Cymru,Labour,11790,8122,43.93,3668,13.67,66.3,65.1,34.9,-30.2,Plaid Cymru
Argyll and Bute,Scotland,7733.0,5394.0,1311.0,14486.0,22959.0,,,,,,,,,,,51883,SNP,Liberal Democrat,22959,14486,44.25,8473,16.33,75.3,60.6,39.4,-21.2,SNP
Arundel and South Downs,South East England,34331.0,6324.0,8154.0,4062.0,,3606.0,,,,,,,,,,56477,Conservative,UKIP,34331,8154,60.79,26177,46.35,73.1,49.4,50.6,1.2,Conservative
Ashfield,East Midlands,10628.0,19448.0,10150.0,7030.0,,,,,,,,,,,153.0,47409,Labour,Conservative,19448,10628,41.02,8820,18.6,61.5,29.5,70.5,41.0,Labour
Ashford,South East England,30094.0,10580.0,10798.0,3433.0,,2467.0,,,,,,,,,,57372,Conservative,UKIP,30094,10798,52.45,19296,33.63,67.3,40.5,59.5,19.0,Conservative
Ashton-under-Lyne,North West England,8610.0,19366.0,8468.0,943.0,,1531.0,,,,,,,,,,38918,Labour,Conservative,19366,8610,49.76,10756,27.64,57.5,38.2,61.8,23.6,Labour
Aylesbury,South East England,28083.0,8391.0,10925.0,5885.0,,2135.0,,,,,,,,,,55419,Conservative,UKIP,28083,10925,50.67,17158,30.96,68.7,47.9,52.1,4.2,Conservative
"Ayr, Carrick and Cumnock",Scotland,10355.0,14227.0,1280.0,855.0,25492.0,,,,,,,,,,,52209,SNP,Labour,25492,14227,48.83,11265,21.58,71.5,57.1,42.9,-14.2,Conservative
Banbury,South East England,30749.0,12354.0,8050.0,3440.0,,2686.0,,,,,,,,,729.0,58008,Conservative,Labour,30749,12354,53.01,18395,31.71,65.6,49.5,50.5,1.0,Conservative
Banff and Buchan,Scotland,13148.0,2647.0,,2347.0,27487.0,,,,,,,,,,,45629,SNP,Conservative,27487,13148,60.24,14339,31.43,,46.0,54.0,8.0,Conservative
Barking,London,7019.0,24826.0,9554.0,562.0,,879.0,,,,,,,,,183.0,43023,Labour,UKIP,24826,9554,57.7,15272,35.5,,39.7,60.3,20.6,Labour
Barnsley Central,Yorkshire and the Humber,5485.0,20376.0,7941.0,770.0,,938.0,,,,,,,,,1050.0,36560,Labour,UKIP,20376,7941,55.73,12435,34.01,,31.7,68.3,36.6,Labour
Barnsley East,Yorkshire and the Humber,5622.0,21079.0,9045.0,1217.0,,,,,,,,,,,1554.0,38517,Labour,UKIP,21079,9045,54.73,12034,31.24,,29.3,70.7,41.4,Labour
Barrow and Furness,Yorkshire and the Humber,17525.0,18320.0,5070.0,1169.0,,1061.0,,,,,,,130.0,,,43275,Labour,Conservative,18320,17525,42.33,795,1.84,,43.3,56.7,13.4,Labour
Basildon and Billericay,East of England,22668.0,10186.0,8538.0,1636.0,,,,,,,,,,,,43028,Conservative,Labour,22668,10186,52.68,12482,29.01,,33.1,66.9,33.8,Conservative
Basingstoke,South East England,25769.0,14706.0,8290.0,3919.0,,,,,,,,,392.0,,,53076,Conservative,Labour,25769,14706,48.55,11063,20.84,,46.4,53.6,7.2,Conservative
Bassetlaw,East Midlands,15122.0,23965.0,7865.0,1331.0,,1006.0,,,,,,,,,,49289,Labour,Conservative,23965,15122,48.62,8843,17.94,,31.7,68.3,36.6,Labour
Bath,South West England,17833.0,6216.0,2922.0,14000.0,,5634.0,,,,,,,499.0,,63.0,47167,Conservative,Liberal Democrat,17833,14000,37.81,3833,8.13,,68.4,31.6,-36.8,Liberal Democrat
Batley and Spen,Yorkshire and the Humber,15769.0,21826.0,9080.0,2396.0,,1232.0,,,,,,,,,176.0,50479,Labour,Conservative,21826,15769,43.24,6057,12.0,,39.7,60.3,20.6,Labour
Battersea,London,26730.0,18792.0,1586.0,2241.0,,1682.0,,,,,,,,,,51031,Conservative,Labour,26730,18792,52.38,7938,15.56,,77.0,23.0,-54.0,Labour
Beaconsfield,South East England,33621.0,6074.0,7310.0,3927.0,,2231.0,,,,,,,,,,53163,Conservative,UKIP,33621,7310,63.24,26311,49.49,,50.8,49.2,-1.6,Conservative
Beckenham,London,27955.0,9484.0,6108.0,3378.0,,1878.0,,,,,,,,,,48803,Conservative,Labour,27955,9484,57.28,18471,37.85,,51.6,48.4,-3.2,Conservative
Bedford,East of England,19625.0,18528.0,4434.0,1958.0,,1412.0,,,,,,,129.0,,,46086,Conservative,Labour,19625,18528,42.58,1097,2.38,,48.1,51.9,3.8,Labour
Belfast East,Northern Ireland,1121.0,,,,,1058.0,19575.0,,823.0,,127.0,16978.0,,,,39682,Democratic Unionist,Alliance,19575,16978,49.3,2597,6.54,62.8,48.6,51.4,2.8,Democratic Unionist
Belfast North,Northern Ireland,,,,,,,19096.0,,13770.0,,3338.0,2941.0,529.0,,919.0,40593,Democratic Unionist,Sinn Fein,19096,13770,47.0,5326,13.12,59.2,50.4,49.6,-0.8,Democratic Unionist
Belfast South,Northern Ireland,582.0,,1900.0,,,2238.0,8654.0,,5402.0,3549.0,9560.0,6711.0,,,361.0,38957,SDLP,Democratic Unionist,9560,8654,24.5,906,2.33,60.0,69.5,30.5,-39.0,Democratic Unionist
Belfast West,Northern Ireland,34.0,,765.0,,,,2773.0,,19163.0,1088.0,3475.0,636.0,,,7395.0,35329,Sinn Fein,Others,19163,7395,54.2,11768,33.31,56.3,74.1,25.9,-48.2,Sinn Fein
Bermondsey and Old Southwark,London,6051.0,22146.0,3254.0,17657.0,,2023.0,,,,,,,,,293.0,51424,Labour,Liberal Democrat,22146,17657,43.06,4489,8.73,,73.0,27.0,-46.0,Labour
Berwick-upon-Tweed,North East England,16603.0,6042.0,4513.0,11689.0,,1488.0,,,,,,,,,88.0,40423,Conservative,Liberal Democrat,16603,11689,41.07,4914,12.16,,44.5,55.5,11.0,Conservative
"Berwickshire, Roxburgh and Selkirk",Scotland,19817.0,2700.0,1316.0,10294.0,20145.0,631.0,,,,,,,,,135.0,55038,SNP,Conservative,20145,19817,36.6,328,0.6,,56.8,43.2,-13.6,Conservative
Bethnal Green and Bow,London,8070.0,32387.0,3219.0,2395.0,,4906.0,,,,,,,,,1947.0,52924,Labour,Conservative,32387,8070,61.19,24317,45.95,,69.1,30.9,-38.2,Labour
Beverley and Holderness,Yorkshire and the Humber,25363.0,13160.0,8794.0,2900.0,,1802.0,,,,,,,,,658.0,52677,Conservative,Labour,25363,13160,48.14,12203,23.17,,41.3,58.7,17.4,Conservative
Bexhill and Battle,South East England,30245.0,7797.0,10170.0,4199.0,,2807.0,,,,,,,,,,55218,Conservative,UKIP,30245,10170,54.77,20075,36.36,,42.4,57.6,15.2,Conservative
Bexleyheath and Crayford,London,20643.0,11451.0,9182.0,1308.0,,950.0,,,,,,,,,151.0,43685,Conservative,Labour,20643,11451,47.25,9192,21.04,,35.0,65.0,30.0,Conservative
Birkenhead,North West England,5816.0,26468.0,3838.0,1396.0,,1626.0,,,,,,,,,,39144,Labour,Conservative,26468,5816,67.62,20652,52.76,,48.3,51.7,3.4,Labour
Birmingham Edgbaston,West Midlands,15812.0,18518.0,4154.0,1184.0,,1371.0,,,,,,,91.0,,163.0,41293,Labour,Conservative,18518,15812,44.85,2706,6.55,,52.7,47.3,-5.4,Labour
Birmingham Erdington,West Midlands,10695.0,15824.0,6040.0,965.0,,948.0,,,,,,,,,212.0,34684,Labour,Conservative,15824,10695,45.62,5129,14.79,,37.0,63.0,26.0,Labour
Birmingham Hall Green,West Midlands,8329.0,28147.0,2131.0,5459.0,,2200.0,,,,,,,,,780.0,47046,Labour,Conservative,28147,8329,59.83,19818,42.12,,66.4,33.6,-32.8,Labour
Birmingham Hodge Hill,West Midlands,4707.0,28069.0,4651.0,2624.0,,835.0,,,,,,,,,153.0,41039,Labour,Conservative,28069,4707,68.4,23362,56.93,,48.5,51.5,3.0,Labour
Birmingham Ladywood,West Midlands,4576.0,26444.0,1805.0,1374.0,,1501.0,,,,,,,,,216.0,35916,Labour,Conservative,26444,4576,73.63,21868,60.89,,64.4,35.6,-28.8,Labour
Birmingham Northfield,West Midlands,15164.0,17673.0,7106.0,1349.0,,1169.0,,,,,,,,,,42461,Labour,Conservative,17673,15164,41.62,2509,5.91,,38.2,61.8,23.6,Labour
Birmingham Perry Barr,West Midlands,8869.0,23697.0,5032.0,2001.0,,1330.0,,,,,,,,,331.0,41260,Labour,Conservative,23697,8869,57.43,14828,35.94,,48.8,51.2,2.4,Labour
Birmingham Selly Oak,West Midlands,13137.0,21584.0,5755.0,2517.0,,2301.0,,,,,,,,,,45294,Labour,Conservative,21584,13137,47.65,8447,18.65,,53.1,46.9,-6.2,Labour
Birmingham Yardley,West Midlands,5760.0,17129.0,6637.0,10534.0,,698.0,,,,,,,,,393.0,41151,Labour,Liberal Democrat,17129,10534,41.62,6595,16.03,,39.9,60.1,20.2,Labour
Bishop Auckland,North East England,12799.0,16307.0,7015.0,1723.0,,1545.0,,,,,,,,,,39389,Labour,Conservative,16307,12799,41.4,3508,8.91,,39.4,60.6,21.2,Labour
Blackburn,North West England,12002.0,24762.0,6280.0,955.0,,,,,,,,,,,,43999,Labour,Conservative,24762,12002,56.28,12760,29.0,,46.3,53.7,7.4,Labour
Blackley and Broughton,North West England,5581.0,22982.0,6108.0,874.0,,1567.0,,,,,,,,,,37112,Labour,UKIP,22982,6108,61.93,16874,45.47,,48.7,51.3,2.6,Labour
Blackpool North and Cleveleys,North West England,17508.0,14168.0,5823.0,948.0,,889.0,,,,,,,,,57.0,39393,Conservative,Labour,17508,14168,44.44,3340,8.48,,33.2,66.8,33.6,Conservative
Blackpool South,North West England,10963.0,13548.0,5613.0,743.0,,841.0,,,,,,,728.0,,,32436,Labour,Conservative,13548,10963,41.77,2585,7.97,,32.2,67.8,35.6,Labour
Blaenau Gwent,Wales,3419.0,18380.0,5677.0,620.0,,738.0,,2849.0,,,,,,,,31683,Labour,UKIP,18380,5677,58.01,12703,40.09,,38.0,62.0,24.0,Labour
Blaydon,North East England,7838.0,22090.0,7863.0,5497.0,,1648.0,,,,,,,,,,44936,Labour,UKIP,22090,7863,49.16,14227,31.66,,43.7,56.3,12.6,Labour
Blyth Valley,North East England,8346.0,17813.0,8584.0,2265.0,,1453.0,,,,,,,,,,38461,Labour,UKIP,17813,8584,46.31,9229,24.0,,40.2,59.8,19.6,Labour
Bognor Regis and Littlehampton,South East England,24185.0,6508.0,10241.0,4240.0,,1942.0,,,,,,,,,,47116,Conservative,UKIP,24185,10241,51.33,13944,29.6,,35.8,64.2,28.4,Conservative
Bolsover,East Midlands,10764.0,22542.0,9228.0,1464.0,,,,,,,,,,,,43998,Labour,Conservative,22542,10764,51.23,11778,26.77,,29.8,70.2,40.4,Labour
Bolton North East,North West England,14164.0,18541.0,8117.0,1236.0,,1103.0,,,,,,,,,,43161,Labour,Conservative,18541,14164,42.96,4377,10.14,,42.3,57.7,15.4,Labour
Bolton South East,North West England,8289.0,20555.0,9627.0,1072.0,,1200.0,,,,,,,,,,40743,Labour,UKIP,20555,9627,50.45,10928,26.82,,36.6,63.4,26.8,Labour
Bolton West,North West England,19744.0,18943.0,7428.0,1947.0,,,,,,,,,321.0,,209.0,48592,Conservative,Labour,19744,18943,40.63,801,1.65,,44.5,55.5,11.0,Conservative
Bootle,North West England,3639.0,33619.0,4915.0,978.0,,1501.0,,,,,,,,,500.0,45152,Labour,UKIP,33619,4915,74.46,28704,63.57,,45.2,54.8,9.6,Labour
Boston and Skegness,East Midlands,18981.0,7142.0,14645.0,1015.0,,800.0,,,,,,,170.0,,586.0,43339,Conservative,UKIP,18981,14645,43.8,4336,10.0,,25.1,74.9,49.8,Conservative
Bosworth,East Midlands,22939.0,9354.0,9338.0,11951.0,,,,,,,,,,,,53582,Conservative,Liberal Democrat,22939,11951,42.81,10988,20.51,67.0,39.3,60.7,21.4,Conservative
Bournemouth East,South West England,22060.0,7448.0,7401.0,3752.0,,3263.0,,,,,,,,,903.0,44827,Conservative,Labour,22060,7448,49.21,14612,32.6,,46.5,53.5,7.0,Conservative
Bournemouth West,South West England,20155.0,7386.0,7745.0,3281.0,,3107.0,,,,,,,,,99.0,41773,Conservative,UKIP,20155,7745,48.25,12410,29.71,,42.2,57.8,15.6,Conservative
Bracknell,South East England,29606.0,8956.0,8339.0,3983.0,,2202.0,,,,,,,,,,53086,Conservative,Labour,29606,8956,55.77,20650,38.9,,46.8,53.2,6.4,Conservative
Bradford East,Yorkshire and the Humber,4682.0,19312.0,4103.0,12228.0,,871.0,,,,,,,,,210.0,41406,Labour,Liberal Democrat,19312,12228,46.64,7084,17.11,,44.8,55.2,10.4,Labour
Bradford South,Yorkshire and the Humber,9878.0,16328.0,9057.0,1094.0,,1243.0,,,,,,,,,,37600,Labour,Conservative,16328,9878,43.43,6450,17.15,,36.5,63.5,27.0,Labour
Bradford West,Yorkshire and the Humber,6160.0,19977.0,3140.0,1173.0,,1085.0,,,,,,,100.0,,8655.0,40290,Labour,Others,19977,8655,49.58,11322,28.1,,53.3,46.7,-6.6,Labour
Braintree,East of England,27071.0,9296.0,9461.0,2488.0,,1564.0,,,,,,,295.0,,108.0,50283,Conservative,UKIP,27071,9461,53.84,17610,35.02,,38.6,61.4,22.8,Conservative
Brecon and Radnorshire,Wales,16453.0,5904.0,3338.0,11351.0,,1261.0,,1767.0,,,,,,,,40074,Conservative,Liberal Democrat,16453,11351,41.06,5102,12.73,,48.3,51.7,3.4,Conservative
Brent Central,London,9567.0,29216.0,1850.0,3937.0,,1912.0,,,,,,,145.0,,405.0,47032,Labour,Conservative,29216,9567,62.12,19649,41.78,,57.1,42.9,-14.2,Labour
Brent North,London,17517.0,28351.0,2024.0,2607.0,,1539.0,,,,,,,197.0,,,52235,Labour,Conservative,28351,17517,54.28,10834,20.74,,57.0,43.0,-14.0,Labour
Brentford and Isleworth,London,24631.0,25096.0,3203.0,2305.0,,2120.0,,,,,,,,,,57355,Labour,Conservative,25096,24631,43.76,465,0.81,,56.7,43.3,-13.4,Labour
Brentwood and Ongar,East of England,30534.0,6492.0,8724.0,4577.0,,1397.0,,,,,,,,,173.0,51897,Conservative,UKIP,30534,8724,58.84,21810,42.03,,39.2,60.8,21.6,Conservative
Bridgend,Wales,12697.0,14624.0,5911.0,1648.0,,736.0,,2784.0,,,,,763.0,,290.0,39453,Labour,Conservative,14624,12697,37.07,1927,4.88,,50.4,49.6,-0.8,Labour
Bridgwater and Somerset West,South West England,25020.0,9589.0,10437.0,6765.0,,2636.0,,,,,,,,,,54447,Conservative,UKIP,25020,10437,45.95,14583,26.78,,37.9,62.1,24.2,Conservative
Brigg and Goole,Yorkshire and the Humber,22946.0,11770.0,6694.0,764.0,,915.0,,,,,,,153.0,,28.0,43270,Conservative,Labour,22946,11770,53.03,11176,25.83,,33.8,66.2,32.4,Conservative
Brighton Kemptown,South East England,18428.0,17738.0,4446.0,1365.0,,3187.0,,,,,,,69.0,,73.0,45306,Conservative,Labour,18428,17738,40.67,690,1.52,,57.6,43.4,-14.2,Labour
Brighton Pavilion,South East England,12448.0,14904.0,2724.0,1525.0,,22871.0,,,,,,,116.0,,88.0,54676,Green,Labour,22871,14904,41.83,7967,14.57,,73.4,26.6,-46.8,Green
Bristol East,South West England,14168.0,18148.0,7152.0,2689.0,,3827.0,,,,,,,,,229.0,46213,Labour,Conservative,18148,14168,39.27,3980,8.61,,53.2,46.8,-6.4,Labour
Bristol North West,South West England,22767.0,17823.0,4889.0,3214.0,,2952.0,,,,,,,,,160.0,51805,Conservative,Labour,22767,17823,43.95,4944,9.54,,58.4,41.6,-16.8,Labour
Bristol South,South West England,12377.0,19505.0,8381.0,4416.0,,5861.0,,,,,,,,,302.0,50842,Labour,Conservative,19505,12377,38.36,7128,14.02,,52.9,47.1,-5.8,Labour
Bristol West,South West England,9752.0,22900.0,1940.0,12103.0,,17227.0,,,,,,,,,296.0,64218,Labour,Green,22900,17227,35.66,5673,8.83,,79.3,20.7,-58.6,Labour
Broadland,East of England,26808.0,9970.0,8881.0,5178.0,,2252.0,,,,,,,,,,53089,Conservative,Labour,26808,9970,50.5,16838,31.72,,46.0,54.0,8.0,Conservative
Bromley and Chislehurst,London,23343.0,9779.0,6285.0,2836.0,,1823.0,,,,,,,,,,44066,Conservative,Labour,23343,9779,52.97,13564,30.78,,50.2,49.8,-0.4,Conservative
Bromsgrove,West Midlands,28133.0,11604.0,8163.0,2616.0,,1729.0,,,,,,,,,,52245,Conservative,Labour,28133,11604,53.85,16529,31.64,,44.6,55.4,10.8,Conservative
Broxbourne,East of England,25797.0,8470.0,9074.0,1467.0,,1216.0,,,,,,,,,,46024,Conservative,UKIP,25797,9074,56.05,16723,36.34,,34.2,65.8,31.6,Conservative
Broxtowe,East Midlands,24163.0,19876.0,5674.0,2120.0,,1544.0,,,,,,,,,63.0,53440,Conservative,Labour,24163,19876,45.22,4287,8.02,,47.6,52.4,4.8,Conservative
Buckingham,South East England,,,11675.0,,,7400.0,,,,,,,,34617.0,,53692,Speaker,UKIP,34617,11675,64.47,22942,42.73,,51.4,48.6,-2.8,Speaker
Burnley,North West England,5374.0,14951.0,6864.0,11707.0,,850.0,,,,,,,,,,39746,Labour,Liberal Democrat,14951,11707,37.62,3244,8.16,,33.4,66.6,33.2,Labour
Burton,West Midlands,24736.0,13484.0,8658.0,1232.0,,1224.0,,,,,,,,,,49334,Conservative,Labour,24736,13484,50.14,11252,22.81,,35.4,64.6,29.2,Conservative
Bury North,North West England,18970.0,18592.0,5595.0,932.0,,1141.0,,,,,,,,,,45230,Conservative,Labour,18970,18592,41.94,378,0.84,,46.4,53.6,7.2,Labour
Bury South,North West England,16350.0,21272.0,6299.0,1690.0,,1434.0,,,,,,,,,170.0,47215,Labour,Conservative,21272,16350,45.05,4922,10.42,,45.5,54.5,9.0,Labour
Bury St Edmunds,East of England,31815.0,10514.0,8739.0,3581.0,,4692.0,,,,,,,,,,59341,Conservative,Labour,31815,10514,53.61,21301,35.9,,46.3,53.7,7.4,Conservative
Caerphilly,Wales,6683.0,17864.0,7791.0,935.0,,937.0,,5895.0,,,,,,,178.0,40283,Labour,UKIP,17864,7791,44.35,10073,25.01,,44.9,55.1,10.2,Labour
"Caithness, Sutherland and Easter Ross",Scotland,2326.0,3061.0,981.0,11987.0,15831.0,,,,,,,,,,,34186,SNP,Liberal Democrat,15831,11987,46.31,3844,11.24,,50.6,49.4,-1.2,Liberal Democrat
Calder Valley,Yorkshire and the Humber,23354.0,18927.0,5950.0,2666.0,,2090.0,,,,,,,,,554.0,53541,Conservative,Labour,23354,18927,43.62,4427,8.27,,46.8,53.2,6.4,Conservative
Camberwell and Peckham,London,6790.0,32614.0,2413.0,2580.0,,5187.0,,,,,,,,,1977.0,51561,Labour,Conservative,32614,6790,63.25,25824,50.08,,69.9,30.1,-39.8,Labour
Camborne and Redruth,South West England,18452.0,11448.0,6776.0,5687.0,,2608.0,,,,,,,,,897.0,45868,Conservative,Labour,18452,11448,40.23,7004,15.27,,37.3,62.7,25.4,Conservative
Cambridge,East of England,8117.0,18646.0,2668.0,18047.0,,4109.0,,,,,,,,,187.0,51774,Labour,Liberal Democrat,18646,18047,36.01,599,1.16,,73.8,26.2,-47.6,Labour
Cannock Chase,West Midlands,20811.0,15888.0,8224.0,1270.0,,906.0,,,,,,,,,,47099,Conservative,Labour,20811,15888,44.19,4923,10.45,,31.1,68.9,37.8,Conservative
Canterbury,South East England,22918.0,13120.0,7289.0,6227.0,,3746.0,,,,,,,,,165.0,53465,Conservative,Labour,22918,13120,42.87,9798,18.33,,54.7,45.3,-9.4,Labour
Cardiff Central,Wales,5674.0,15462.0,2499.0,10481.0,,2461.0,,1925.0,,,,,34.0,,110.0,38646,Labour,Liberal Democrat,15462,10481,40.01,4981,12.89,,69.7,30.3,-39.4,Labour
Cardiff North,Wales,21709.0,19572.0,3953.0,1953.0,,1254.0,,2301.0,,,,,,,409.0,51151,Conservative,Labour,21709,19572,42.44,2137,4.18,,60.9,39.0,-21.9,Labour
Cardiff South and Penarth,Wales,12513.0,19966.0,6423.0,2318.0,,1746.0,,3443.0,,,,,,,258.0,46667,Labour,Conservative,19966,12513,42.78,7453,15.97,,55.1,44.9,-10.2,Labour
Cardiff West,Wales,11014.0,17803.0,4923.0,2069.0,,1704.0,,6096.0,,,,,,,183.0,43792,Labour,Conservative,17803,11014,40.65,6789,15.5,,55.2,44.8,-10.4,Labour
Carlisle,North West England,18873.0,16099.0,5277.0,1087.0,,1125.0,,,,,,,126.0,,,42587,Conservative,Labour,18873,16099,44.32,2774,6.51,,39.6,60.4,20.8,Conservative
Carmarthen East and Dinefwr,Wales,8336.0,9541.0,4363.0,928.0,,1091.0,,15140.0,,,,,,,,39399,Plaid Cymru,Labour,15140,9541,38.43,5599,14.21,,46.3,53.7,7.4,Plaid Cymru
Carmarthen West and Pembrokeshire South,Wales,17626.0,11572.0,4698.0,963.0,,1290.0,,4201.0,,,,,,,,40350,Conservative,Labour,17626,11572,43.68,6054,15.0,,44.7,55.3,10.6,Conservative
Carshalton and Wallington,London,15093.0,7150.0,7049.0,16603.0,,1492.0,,,,,,,,,226.0,47613,Liberal Democrat,Conservative,16603,15093,34.87,1510,3.17,,43.7,56.3,12.6,Liberal Democrat
Castle Point,East of England,23112.0,6283.0,14178.0,801.0,,1076.0,,,,,,,,,,45450,Conservative,UKIP,23112,14178,50.85,8934,19.66,,27.3,72.7,45.4,Conservative
Central Ayrshire,Scotland,8803.0,13410.0,,917.0,26999.0,645.0,,,,,,,,,,50774,SNP,Labour,26999,13410,53.17,13589,26.76,72.6,57.8,42.2,-15.6,SNP
Central Devon,South West England,28436.0,6985.0,7171.0,6643.0,,4866.0,,,,,,,,,347.0,54448,Conservative,UKIP,28436,7171,52.2,21265,39.06,74.9,48.9,51.1,2.2,Conservative
Central Suffolk and North Ipswich,East of England,30317.0,10173.0,7459.0,3314.0,,2664.0,,,,,,,,,162.0,54089,Conservative,Labour,30317,10173,56.1,20144,37.24,68.7,45.6,54.4,8.8,Conservative
Ceredigion,Wales,4123.0,3615.0,3829.0,13414.0,,2088.0,,10347.0,,,,,,,,37416,Liberal Democrat,Plaid Cymru,13414,10347,35.85,3067,8.2,,54.6,45.4,-9.2,Plaid Cymru
Charnwood,East Midlands,28384.0,11453.0,8330.0,3605.0,,,,,,,,,,,489.0,52261,Conservative,Labour,28384,11453,54.31,16931,32.4,,41.8,58.2,16.4,Conservative
Chatham and Aylesford,South East England,21614.0,10159.0,8581.0,1360.0,,1101.0,,,,,,,,,258.0,43073,Conservative,Labour,21614,10159,50.18,11455,26.59,,35.3,64.7,29.4,Conservative
Cheadle,North West England,22889.0,8673.0,4423.0,16436.0,,,,,,,,,390.0,,284.0,53095,Conservative,Liberal Democrat,22889,16436,43.11,6453,12.15,,57.3,42.7,-14.6,Conservative
Chelmsford,East of England,27732.0,9482.0,7652.0,6394.0,,1892.0,,,,,,,,,665.0,53817,Conservative,Labour,27732,9482,51.53,18250,33.91,,49.5,50.5,1.0,Conservative
Chelsea and Fulham,London,25322.0,9300.0,2039.0,2091.0,,1474.0,,,,,,,,,,40226,Conservative,Labour,25322,9300,62.95,16022,39.83,,70.8,29.2,-41.6,Conservative
Cheltenham,South West England,24790.0,3902.0,3808.0,18274.0,,2689.0,,,,,,,272.0,,,53735,Conservative,Liberal Democrat,24790,18274,46.13,6516,12.13,,57.3,42.7,-14.6,Conservative
Chesham and Amersham,South East England,31138.0,6712.0,7218.0,4761.0,,2902.0,,,,,,,,,,52731,Conservative,UKIP,31138,7218,59.05,23920,45.36,,55.0,45.0,-10.0,Conservative
"Chester, City of",North West England,22025.0,22118.0,4148.0,2870.0,,,,,,,,,,,,51161,Labour,Conservative,22118,22025,43.23,93,0.18,,57.3,42.7,-14.6,Labour
Chesterfield,East Midlands,8231.0,21829.0,7523.0,6301.0,,1352.0,,,,,,,,,331.0,45567,Labour,Conservative,21829,8231,47.91,13598,29.84,,40.7,59.3,18.6,Labour
Chichester,South East England,32953.0,6933.0,8540.0,4865.0,,3742.0,,,,,,,,,106.0,57139,Conservative,UKIP,32953,8540,57.67,24413,42.73,,49.4,50.6,1.2,Conservative
Chingford and Woodford Green,London,20999.0,12613.0,5644.0,2400.0,,1854.0,,,,,,,,,294.0,43804,Conservative,Labour,20999,12613,47.94,8386,19.14,,50.8,49.2,-1.6,Conservative
Chippenham,South West England,26354.0,4561.0,5884.0,16278.0,,2330.0,,,,,,,,,,55407,Conservative,Liberal Democrat,26354,16278,47.56,10076,18.19,,47.7,52.3,4.6,Conservative
Chipping Barnet,London,25759.0,18103.0,4151.0,2381.0,,2501.0,,,,,,,118.0,,,53013,Conservative,Labour,25759,18103,48.59,7656,14.44,,59.1,40.9,-18.2,Conservative
Chorley,North West England,18792.0,23322.0,6995.0,1354.0,,1111.0,,,,,,,138.0,,,51712,Labour,Conservative,23322,18792,45.1,4530,8.76,,43.5,56.5,13.0,Labour
